Date,Simulated Storage
20140916,23.47719044
20140917,23.47719044
20140918,23.47719044
20140919,23.47719044
20140920,23.47719044
20140921,23.47719044
20140922,23.47719044
20140923,23.4701275
20140924,23.4595331
20140925,23.46659604
20140926,23.47365897
20140927,23.44540724
20140928,23.41009257
20140929,23.27589684
20140930,23.18761017
20141001,23.14876404
20141002,23.06047737
20141003,22.94747044
20141004,22.81680617
20141005,22.68261044
20141006,22.55194617
20141007,22.52016297
20141008,22.42834484
20141009,22.40715604
20141010,22.38596724
20141011,22.2517715
20141012,22.1140443
20141013,21.81033817
20141014,21.43247123
20141015,21.03694697
20141016,20.65554857
20141017,20.2812131
20141018,19.95984963
20141019,19.76561897
20141020,19.39834643
20141021,19.08757736
20141022,18.75208803
20141023,18.56138883
20141024,18.26121416
20141025,17.86215843
20141026,17.49135443
20141027,17.01107496
20141028,17.04285816
20141029,16.90159949
20141030,16.80271843
20141031,16.68618003
20141101,16.56964163
20141102,16.44957176
20141103,16.32950189
20141104,16.20590056
20141105,16.07876776
20141106,15.95163496
20141107,15.82450216
20141108,15.69030643
20141109,15.55611069
20141110,15.42191496
20141111,15.28418776
20141112,15.14292909
20141113,14.99813896
20141114,14.86041176
20141115,14.96988722
20141116,14.95929282
20141117,14.78625096
20141118,14.58848882
20141119,14.39072669
20141120,14.15058696
20141121,13.89985282
20141122,13.77625149
20141123,13.67737042
20141124,13.57142642
20141125,13.34894402
20141126,12.87219602
20141127,12.35660189
20141128,12.15530829
20141129,11.96107762
20141130,11.68562322
20141201,11.44548349
20141202,11.21946962
20141203,10.97579842
20141204,10.75684748
20141205,10.54849095
20141206,10.32600855
20141207,10.10705762
20141208,9.856323483
20141209,9.612652282
20141210,9.365449615
20141211,9.125309881
20141212,8.881638681
20141213,8.630904547
20141214,8.366044547
20141215,8.101184546
20141216,7.853981879
20141217,7.645625346
20141218,7.437268812
20141219,7.197129078
20141220,6.988772545
20141221,6.798073344
20141222,6.603842677
20141223,6.40961201
20141224,6.211849877
20141225,6.014087743
20141226,5.809262676
20141227,5.597374676
20141228,5.378423742
20141229,5.163004275
20141230,4.940521875
20141231,4.718039474
20150101,4.492025607
20150102,4.396676007
20150103,4.29779494
20150104,4.195382407
20150105,4.092969873
20150106,3.987025873
20150107,3.90580214
20150108,3.817515473
20150109,3.708040006
20150110,3.676256806
20150111,3.552655472
20150112,3.423756939
20150113,3.287442325
20150114,3.150068272
20150115,3.006337578
20150116,2.859075418
20150117,2.758075471
20150118,2.738299258
20150119,2.719229338
20150120,2.694509071
20150121,2.670495098
20150122,2.647187418
20150123,2.623173444
20150124,2.598806324
20150125,2.557841311
20150126,2.457547657
20150127,2.34595331
20150128,2.194100244
20150129,2.042600323
20150130,1.888981523
20150131,1.733243843
20150201,1.587747416
20150202,1.442604136
20150203,1.297460855
20150204,1.149845549
20150205,1.002583388
20150206,0.852849201
20150207,0.698170961
20150208,0.544199014
20150209,0.390933361
20150210,0.236996728
20150211,0.083095411
20150212,0
20150213,0
20150214,0
20150215,0
20150216,0
20150217,0
20150218,0
20150219,0
20150220,0
20150221,0
20150222,0
20150223,0
20150224,0
20150225,0
20150226,0
20150227,0
20150228,0
20150301,0
20150302,0
20150303,0
20150304,0
20150305,0
20150306,0
20150307,0.149275096
20150308,0.242046726
20150309,0.417772507
20150310,0.458031227
20150311,0.473216534
20150312,0.482398347
20150313,0.491227014
20150314,0.501115121
20150315,0.513122108
20150316,0.526188534
20150317,0.541020694
20150318,0.555852854
20150319,0.571744454
20150320,0.588695494
20150321,0.606705974
20150322,0.625069601
20150323,0.644492668
20150324,0.664268881
20150325,0.684398241
20150326,0.704880748
20150327,0.725363255
20150328,0.746905201
20150329,0.768094001
20150330,0.789635948
20150331,0.811531041
20150401,0.967268722
20150402,1.024125335
20150403,1.057321122
20150404,1.079569362
20150405,1.089810615
20150406,1.085219708
20150407,1.077803628
20150408,1.066856082
20150409,1.076744188
