Date,Simulated Outflow
20140703,2
20140704,2
20140705,2
20140706,2
20140707,2
20140708,2
20140709,2
20140710,2
20140711,2
20140712,2
20140713,2
20140714,2
20140715,2
20140716,2
20140717,2
20140718,2
20140719,2
20140720,2
20140721,2
20140722,2
20140723,2
20140724,2
20140725,2
20140726,2
20140727,2
20140728,2
20140729,2
20140730,2
20140731,2
20140801,2
20140802,2
20140803,2
20140804,2
20140805,2
20140806,2
20140807,2
20140808,2
20140809,2
20140810,2
20140811,2
20140812,2
20140813,2
20140814,2
20140815,2
20140816,2
20140817,2
20140818,2
20140819,2
20140820,2
20140821,2
20140822,2
20140823,2
20140824,2
20140825,2
20140826,2
20140827,2
20140828,47.99
20140829,108
20140830,107.5
20140831,106.6
20140901,137.2
20140902,116.8
20140903,108.8
20140904,122.9
20140905,110.7
20140906,119.4
20140907,107.2
20140908,101.7
20140909,106.9
20140910,103.7
20140911,100.9
20140912,99.71
20140913,101.4
20140914,99.75
20140915,99.47
20140916,97.32
20140917,97.37
20140918,95.33
20140919,94.23
20140920,95.14
20140921,92.41
20140922,90.99
20140923,92.05
20140924,141.1
20140925,1019
20140926,998.4
20140927,275.2
20140928,159.4
20140929,955.7
20140930,255.3
20141001,146.7
20141002,130
20141003,131
20141004,134
20141005,135
20141006,135
20141007,141
20141008,136
20141009,136
20141010,136
20141011,145
20141012,145
20141013,194
20141014,216
20141015,221
20141016,221
20141017,216
20141018,197
20141019,219
20141020,230
20141021,214
20141022,206
20141023,156
20141024,190
20141025,246
20141026,271
20141027,271
20141028,203
20141029,159
20141030,131
20141031,131
20141101,131
20141102,131
20141103,131
20141104,131
20141105,131
20141106,131
20141107,131
20141108,131
20141109,131
20141110,131
20141111,131
20141112,131
20141113,131
20141114,131
20141115,48
20141116,84
20141117,135
20141118,143
20141119,142
20141120,155
20141121,156
20141122,115
20141123,105
20141124,105
20141125,144
20141126,224
20141127,237
20141128,132
20141129,129
20141130,155
20141201,141
20141202,136
20141203,141
20141204,131
20141205,126
20141206,130
20141207,128
20141208,136
20141209,135
20141210,134
20141211,131
20141212,131
20141213,132
20141214,136
20141215,135
20141216,133
20141217,114
20141218,114
20141219,123
20141220,112
20141221,105
20141222,105
20141223,105
20141224,105
20141225,105
20141226,105
20141227,108
20141228,108
20141229,108
20141230,108
20141231,108
20150101,108
20150102,65
20150103,65
20150104,65
20150105,65
20150106,65
20150107,56
20150108,57
20150109,57
20150110,29
20150111,57
20150112,57
20150113,57
20150114,57
20150115,57
20150116,57
20150117,42
20150118,15
20150119,15
20150120,15
20150121,15
20150122,15
20150123,15
20150124,15
20150125,20
20150126,39
20150127,42
20150128,55
20150129,55
20150130,55
20150131,55
20150201,52
20150202,52
20150203,52
20150204,52
20150205,52
20150206,53
20150207,53
20150208,53
20150209,53
20150210,53
20150211,53
20150212,29.81
20150213,2.639
20150214,1.816
20150215,1.891
20150216,1.986
20150217,1.925
20150218,1.747
20150219,1.825
20150220,1.769
20150221,1.761
20150222,1.662
20150223,1.717
20150224,1.691
20150225,1.66
20150226,1.663
20150227,1.619
20150228,1.59
20150301,1.534
20150302,1.587
20150303,1.518
20150304,1.478
20150305,1.533
20150306,1.429
20150307,3
20150308,3
20150309,3
20150310,3
20150311,3
20150312,3
20150313,3
20150314,3
20150315,3
20150316,3
20150317,3
20150318,3
20150319,3
20150320,3
20150321,3
20150322,3
20150323,3
20150324,3
20150325,3
20150326,3
20150327,3
20150328,3
20150329,3
20150330,3
20150331,3
20150401,3
20150402,3
20150403,3
20150404,4
20150405,7
20150406,12
20150407,13
20150408,14
20150409,7
20150410,5
20150411,5
20150412,5
20150413,4
20150414,7
20150415,8
20150416,8
20150417,12
20150418,9
20150419,10
20150420,12
20150421,12
20150422,12
20150423,10
20150424,3
20150425,3
20150426,3
20150427,3
20150428,3
20150429,3
20150430,3
20150501,3
20150502,3
20150503,3
20150504,3
20150505,3
20150506,3
20150507,3
20150508,3
20150509,3
20150510,3
20150511,3
20150512,3
20150513,3
20150514,3
20150515,4
20150516,4
20150517,7
20150518,7
20150519,7
20150520,7
20150521,7
20150522,12
20150523,15
20150524,15
20150525,20
20150526,20
20150527,5
20150528,2
20150529,3
20150530,3
20150531,3
20150601,3
20150602,3
20150603,3
20150604,3
20150605,3
20150606,3
20150607,3
20150608,3
20150609,3
20150610,3
20150611,3
20150612,3
20150613,3
20150614,3
20150615,3
20150616,3
20150617,3
20150618,3
20150619,3
20150620,3
20150621,3
20150622,3
20150623,3
20150624,3
20150625,3
20150626,3
20150627,3
20150628,3
20150629,3
20150630,8
20150701,8
20150702,8
20150703,8
20150704,8
20150705,14
20150706,14
20150707,14
20150708,10
20150709,5
20150710,4
20150711,4
20150712,3
20150713,3
20150714,3
20150715,3
20150716,3
20150717,3
20150718,3
20150719,3
20150720,3
20150721,3
20150722,3
20150723,3
20150724,3
20150725,3
20150726,3
20150727,3
20150728,3
20150729,3
20150730,3
20150731,3
20150801,3
20150802,3
20150803,3
20150804,3
20150805,3
20150806,3
20150807,3
20150808,3
20150809,3
20150810,3
20150811,3
20150812,32.18
20150813,69.75
20150814,59.86
20150815,52.18
20150816,48.97
20150817,52.5
20150818,53.26
20150819,210.4
20150820,79.58
20150821,66.18
20150822,58.56
20150823,101
20150824,63.45
20150825,55.5
20150826,53.7
20150827,57.15
20150828,56.08
20150829,53.54
20150830,55.34
20150831,55.6
20150901,53.36
20150902,53.27
20150903,53.75
20150904,55.21
20150905,113.2
20150906,568.8
20150907,148.6
20150908,212.4
20150909,88.44
20150910,67.9
20150911,100.1
20150912,102.4
20150913,84
20150914,84
20150915,84
20150916,50
20150917,45
20150918,28
20150919,65
20150920,99
20150921,99
20150922,99
20150923,84
20150924,75
20150925,231
20150926,122.6
20150927,80.85
20150928,76.93
20150929,7
20150930,70.2
20151001,100.4
20151002,67.93
20151003,61.17
20151004,59.55
20151005,241.1
20151006,160.2
20151007,80.29
20151008,69.49
20151009,116.2
20151010,99
20151011,84
20151012,79
20151013,76
20151014,65
20151015,89
20151016,116
20151017,87
20151018,76
20151019,154
20151020,89
20151021,62
20151022,61
20151023,70
20151024,109
20151025,141
20151026,144
20151027,183
20151028,223
20151029,223
20151030,223
20151031,138
20151101,138
20151102,138
20151103,138
20151104,138
20151105,138
20151106,138
20151107,138
20151108,262
20151109,364
20151110,363
20151111,361
20151112,359
20151113,345
20151114,266
20151115,242
20151116,186
20151117,179
20151118,179
20151119,124
20151120,84
20151121,84
20151122,84
20151123,29
20151124,3
20151125,3
20151126,3
20151127,3
20151128,3
20151129,3
20151130,3
20151201,3
20151202,3
20151203,3
20151204,5
20151205,20
20151206,88
20151207,115
20151208,124
20151209,123
20151210,124
20151211,125
20151212,112
20151213,55
20151214,4
20151215,4
20151216,4
20151217,4
20151218,4
20151219,4
20151220,4
20151221,4
20151222,4
20151223,4
20151224,4
20151225,4
20151226,38
20151227,49
20151228,73
20151229,77
20151230,86
20151231,77
20160101,82
20160102,70
20160103,19
20160104,4
20160105,4
20160106,4
20160107,4
20160108,4
20160109,4
20160110,4
20160111,4
20160112,21
20160113,41
20160114,50
20160115,65
20160116,65
20160117,57
20160118,31
20160119,4
20160120,4
20160121,4
20160122,4
20160123,4
20160124,4
20160125,4
20160126,4
20160127,4
20160128,4
20160129,4
20160130,4
20160131,4
20160201,4
20160202,4
20160203,4
20160204,4
20160205,4
20160206,4
20160207,4
20160208,4
20160209,4
20160210,4
20160211,4
20160212,4
20160213,4
20160214,4
20160215,4
20160216,4
20160217,4
20160218,4
20160219,4
