time,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15
11-07-1951,0.611133575,0.524650455,1.095526192,0,2.646445751,0,0.124560465,5.160148084,2.451456089,9.674073532,6.786432266,0.93136251,0.025053297,3.587735615,0.590939326
12-07-1951,0.822389603,4.30293417,0.282381617,0,22.35609945,0,4.045422619,2.555502608,3.418480663,4.529233813,11.10806847,1.153026849,2.035146674,1.265234113,0.897791936
13-07-1951,1.004095629,1.10627079,2.484281208,0,23.40257517,0,2.253418485,7.830845952,3.387506283,11.46999305,0.995427847,2.451844931,0,2.045743201,3.328107227
14-07-1951,1.823494598,3.660145283,1.485970855,0.177393603,0,0,0.028725177,5.444172323,0.002896224,1.960653372,0,0,0,0.447585855,0.255585611
15-07-1951,1.875678927,4.442350864,2.307546116,0,0,0,0,6.353591561,6.146643596,2.00557968,3.194699645,3.062675357,0.510935167,0.39525794,0
16-07-1951,1.695834339,8.751501083,5.022626923,5.212942306,6.388412476,0.282570899,9.206202224,7.23740077,6.773555422,7.397438265,0.522318661,14.00599784,0.567882846,0.452311771,0.975172177
17-07-1951,2.591926038,6.616239071,3.268505394,0,0,0,0.329884917,9.192943811,0.570347664,12.2952602,1.576259255,8.171688318,0,0.597702963,3.127726515
18-07-1951,2.376605768,4.14023304,3.792278111,0,0,0,0.127425129,14.28876519,0.630245824,5.818359882,0.526823223,3.161406316,0.924080552,1.519793172,0.230907068
19-07-1951,10.67584085,13.79248524,9.091088772,1.858461764,0.29622221,2.207779169,0.599876451,16.67476082,0.783800632,8.295063376,0,0,0.016284643,0.16959466,0.266371266
20-07-1951,11.54674876,10.84091377,6.789032352,1.433901747,0.341104349,0.140432447,0.225985693,23.86871505,0.975412783,1.284149058,0.072207205,0.314424522,0.012526649,0.506782461,0.175401694
21-07-1951,20.2552011,24.62772179,8.334980433,3.67375962,0.457797964,0.188475117,0.586261861,48.14970636,1.049426481,12.17521358,0,0,0,0.796128886,0.125286927
22-07-1951,12.62086225,26.52724266,18.43677937,1.588153519,0.207350393,0.12635009,1.330657516,60.88143647,0.801439556,15.16002014,0.162549049,0,0,1.586529981,0.32201187
23-07-1951,34.94710684,39.84438705,29.83557834,5.238266294,6.994933208,0.263466597,10.67028062,106.3042183,6.686498122,23.49694747,4.903555155,18.35100682,0.590985027,4.030352311,1.055852975
24-07-1951,53.42396069,40.58128357,32.69000974,4.108929113,4.894940694,0.536121726,10.75665077,111.2772932,2.805496325,53.74329895,0.234732926,1.244896114,2.085235396,2.65120442,1.396474554
25-07-1951,29.45546174,53.16634369,28.62506884,7.900570393,4.135297934,0.713736951,6.891429901,86.04199648,5.513653457,39.01385751,1.768709898,11.95696056,2.121858875,3.0103431,1.722321791
26-07-1951,22.73449969,23.24074936,14.81313011,0.233267649,0.408300996,0,2.276532764,50.89924598,0.140740863,35.84511554,0,0,0,0.294875349,0.425070471
27-07-1951,13.77267802,8.955073357,5.559351556,0.039098293,0.413460871,0,0.628742273,22.89182258,0.147605096,11.30830216,0,0.929915488,0.734019538,0.260074208,0.12126468
28-07-1951,7.321337581,7.631134033,2.311982146,0.168478979,0,0,0.029480919,8.223519862,0.014239604,7.142115206,0,0,0.011726193,0,0.081436497
