Date,Evapotranspiration,,
20140513,39090,,
20140514,41190,,
20140515,43300,,
20140516,46410,,
20140517,23860,,
20140518,13680,,
20140519,44940,,
20140520,12570,,
20140521,14590,,
20140522,12590,,
20140523,14900,,
20140524,40890,,
20140525,33960,,
20140526,50070,,
20140527,33950,,
20140528,18970,,
20140529,10050,,
20140530,13370,,
20140531,11380,,
20140601,11040,,
20140602,45410,,
20140603,16310,,
20140604,32700,,
20140605,14740,,
20140606,7040,,
20140607,3594,,
20140608,48840,,
20140609,1309,,
20140610,9484,,
20140611,12200,,
20140612,19930,,
20140613,20760,,
20140614,27330,,
20140615,15090,,
20140616,11470,,
20140617,20870,,
20140618,8923,,
20140619,13560,,
20140620,7825,,
20140621,6269,,
20140622,5834,,
20140623,15810,,
20140624,16400,,
20140625,33720,,
20140626,54200,,
20140627,53220,,
20140628,16300,,
20140629,33540,,
20140630,61560,,
20140701,39630,,
20140702,5085,,
20140703,50910,,
20140704,44000,,
20140705,1792,,
20140706,10830,,
20140707,45060,,
20140708,10590,,
20140709,16870,,
20140710,7846,,
20140711,15340,,
20140712,14520,,
20140713,14830,,
20140714,8345,,
20140715,18280,,
20140716,24060,,
20140717,29210,,
20140718,11020,,
20140719,8986,,
20140720,24410,,
20140721,27960,,
20140722,31130,,
20140723,40730,,
20140724,35120,,
20140725,17720,,
20140726,17880,,
20140727,41730,,
20140728,27550,,
20140729,65660,,
20140730,42480,,
20140731,52560,,
20140801,56400,,
20140802,43500,,
20140803,61150,,
20140804,29140,,
20140805,61640,,
20140806,59680,,
20140807,34840,,
20140808,32490,,
20140809,44890,,
20140810,78670,,
20140811,42080,,
20140812,53900,,
20140813,60600,,
20140814,123000,,
20140815,79090,,
20140816,166000,,
20140817,222700,,
20140818,25000,,
20140819,49130,,
20140820,89430,,
20140821,47190,,
20140822,58880,,
20140823,25080,,
20140824,189900,,
20140825,50900,,
20140826,54240,,
20140827,79750,,
20140828,27610,,
20140829,20590,,
20140830,39060,,
20140831,85850,,
20140901,58840,,
20140902,85900,,
20140903,50350,,
20140904,57910,,
20140905,74080,,
20140906,64670,,
20140907,52130,,
20140908,74600,,
20140909,91710,,
20140910,40370,,
20140911,190700,,
20140912,218400,,
20140913,40510,,
20140914,81050,,
20140915,85910,,
20140916,102000,,
20140917,32880,,
20140918,87860,,
20140919,71930,,
20140920,101400,,
20140921,34220,,
20140922,81740,,
20140923,72180,,
20140924,66330,,
20140925,70170,,
20140926,101000,,
20140927,52850,,
20140928,48770,,
20140929,113900,,
20140930,188400,,
20141001,59130,,
20141002,206300,,
20141003,217700,,
20141004,184100,,
20141005,165800,,
20141006,51770,,
20141007,86930,,
20141008,70480,,
20141009,109700,,
20141010,95140,,
20141011,81630,,
20141012,77770,,
20141013,82800,,
20141014,200000,,
20141015,166300,,
20141016,48290,,
20141017,62370,,
20141018,93090,,
20141019,99950,,
20141020,65610,,
20141021,56870,,
20141022,94220,,
20141023,63080,,
20141024,68120,,
20141025,61890,,
20141026,70080,,
20141027,53320,,
20141028,56710,,
20141029,163000,,
20141030,131100,,
20141031,145900,,
20141101,122400,,
20141102,116300,,
20141103,105600,,
20141104,113600,,
20141105,115500,,
20141106,122100,,
20141107,118500,,
20141108,106900,,
20141109,98320,,
20141110,106100,,
20141111,54430,,
20141112,71400,,
20141113,42610,,
20141114,35680,,
20141115,32380,,
20141116,98620,,
20141117,105500,,
20141118,108700,,
20141119,108800,,
20141120,103800,,
20141121,116100,,
20141122,102000,,
20141123,98170,,
20141124,92550,,
20141125,98460,,
20141126,107900,,
20141127,110000,,
20141128,89480,,
20141129,75850,,
20141130,93720,,
20141201,80910,,
20141202,68600,,
20141203,93600,,
20141204,83450,,
20141205,65240,,
20141206,64900,,
20141207,63760,,
20141208,75690,,
20141209,23420,,
20141210,69860,,
20141211,26710,,
20141212,25110,,
20141213,34240,,
20141214,34680,,
20141215,27650,,
20141216,23200,,
20141217,57520,,
20141218,59780,,
20141219,53070,,
20141220,47920,,
20141221,56850,,
20141222,50280,,
20141223,53300,,
20141224,48800,,
20141225,45420,,
20141226,45450,,
20141227,45280,,
20141228,39300,,
20141229,37290,,
20141230,34430,,
20141231,33920,,
20150101,30600,,
20150102,34050,,
20150103,35590,,
20150104,33850,,
20150105,37230,,
20150106,34240,,
20150107,33260,,
20150108,29000,,
20150109,33720,,
20150110,32270,,
20150111,35140,,
20150112,26990,,
20150113,33980,,
20150114,26400,,
20150115,32010,,
20150116,29290,,
20150117,23900,,
20150118,24700,,
20150119,20420,,
20150120,30000,,
20150121,22640,,
20150122,23010,,
20150123,25010,,
20150124,21250,,
20150125,22000,,
20150126,21970,,
20150127,24540,,
20150128,22980,,
20150129,19760,,
20150130,21030,,
20150131,21640,,
20150201,15210,,
20150202,15280,,
20150203,14620,,
20150204,14520,,
20150205,11160,,
20150206,9786,,
20150207,11460,,
20150208,8410,,
20150209,5589,,
20150210,5568,,
20150211,2958,,
20150212,1106,,
20150213,0,,
20150214,0,,
20150215,0,,
20150216,0,,
20150217,0,,
20150218,0,,
20150219,0,,
20150220,0,,
20150221,0,,
20150222,0,,
20150223,0,,
20150224,0,,
20150225,0,,
20150226,0,,
20150227,0,,
20150228,0,,
20150301,0,,
20150302,0,,
20150303,0,,
20150304,0,,
20150305,0,,
20150306,0,,
20150307,0,,
20150308,931.4,,
20150309,1383,,
20150310,1890,,
20150311,5671,,
20150312,5799,,
20150313,5829,,
20150314,6018,,
20150315,2313,,
20150316,3092,,
20150317,2810,,
20150318,6863,,
20150319,7910,,
20150320,8360,,
20150321,6618,,
20150322,7794,,
20150323,7276,,
20150324,7023,,
20150325,9598,,
20150326,9599,,
20150327,9556,,
20150328,8100,,
20150329,8841,,
20150330,8243,,
20150331,7692,,
20150401,4077,,
20150402,5400,,
20150403,4865,,
20150404,13360,,
20150405,15260,,
20150406,3956,,
20150407,3227,,
20150408,2398,,
20150409,3865,,
20150410,3798,,
20150411,4098,,
20150412,6334,,
20150413,4350,,
20150414,7140,,
20150415,33680,,
20150416,18960,,
20150417,7140,,
20150418,6430,,
20150419,21150,,
20150420,20080,,
20150421,22070,,
20150422,6817,,
20150423,10370,,
20150424,9853,,
20150425,11680,,
20150426,10140,,
20150427,4900,,
20150428,31900,,
20150429,11300,,
20150430,10510,,
20150501,11800,,
20150502,18290,,
20150503,9322,,
20150504,11240,,
20150505,2203,,
20150506,27370,,
20150507,7274,,
20150508,4053,,
20150509,10960,,
